Date;Filière;Valeur (%)
2015-09;"Average share of demand ";5,0328355875021
2015-10;"Average share of demand ";3,3973590044042
2015-11;"Average share of demand ";6,2913633027265
2015-12;"Average share of demand ";5,9671126460269
2016-01;"Average share of demand ";5,9079562027039
2016-02;"Average share of demand ";6,4704141787176
2016-03;"Average share of demand ";5,3527604735676
2016-04;"Average share of demand ";4,3589161407564
2016-05;"Average share of demand ";4,5566264464027
2016-06;"Average share of demand ";3,3168677966371
2016-07;"Average share of demand ";3,0694405657379
2016-08;"Average share of demand ";3,8403357486272
2016-09;"Average share of demand ";3,1033466608767
2016-10;"Average share of demand ";3,7784972128457
2016-11;"Average share of demand ";5,3085720211263
2016-12;"Average share of demand ";3,134322510558
2017-01;"Average share of demand ";3,6113189028844
2017-02;"Average share of demand ";5,8632481047183
2017-03;"Average share of demand ";6,2481791935057
2017-04;"Average share of demand ";4,07645902486
2017-05;"Average share of demand ";4,409277280999
2017-06;"Average share of demand ";4,5353368239396
2017-07;"Average share of demand ";5,1796353382137
2017-08;"Average share of demand ";3,9261241048777
2017-09;"Average share of demand ";4,9415273688612
2017-10;"Average share of demand ";5,8899875885187
2017-11;"Average share of demand ";5,3364645959453
2017-12;"Average share of demand ";6,7290614885947
2018-01;"Average share of demand ";8,3507793967875
2018-02;"Average share of demand ";5,5316228508044
2018-03;"Average share of demand ";6,4704523127592
2018-04;"Average share of demand ";5,9546763820551
2018-05;"Average share of demand ";4,7726991118914
2018-06;"Average share of demand ";4,2766119543025
2018-07;"Average share of demand ";3,3323121754513
2018-08;"Average share of demand ";4,4701600774001
2018-09;"Average share of demand ";5,0628035634968
2018-10;"Average share of demand ";6,8654346260163
2018-11;"Average share of demand ";6,630840886279
2018-12;"Average share of demand ";8,0298019197109
2019-01;"Average share of demand ";5,8032252261527
2019-02;"Average share of demand ";6,0358266917173
2019-03;"Average share of demand ";10,297350679655
2019-04;"Average share of demand ";6,2935214152926
2019-05;"Average share of demand ";6,2551529691064
2019-06;"Average share of demand ";5,8830399913372
2019-07;"Average share of demand ";5,1185640182163
2019-08;"Average share of demand ";5,4150297115544
2019-09;"Average share of demand ";8,3244701052877
2019-10;"Average share of demand ";9,5318560707203
2019-11;"Average share of demand ";8,0015871545576
2019-12;"Average share of demand ";10,238712128537
2020-01;"Average share of demand ";8,4641690243161
2020-02;"Average share of demand ";13,918352902417
2020-03;"Average share of demand ";11,023440260327
2020-04;"Average share of demand ";7,4912894553065
2020-05;"Average share of demand ";8,6981051135648
2020-06;"Average share of demand ";6,813993950665
2020-07;"Average share of demand ";6,5501090555695
2020-08;"Average share of demand ";6,5219905669955
2020-09;"Average share of demand ";6,7570652545124
2020-10;"Average share of demand ";11,431335090281
2020-11;"Average share of demand ";8,3962458748536
2020-12;"Average share of demand ";9,5250448745061
2021-01;"Average share of demand ";7,7016632965575
2021-02;"Average share of demand ";10,098782747444
2021-03;"Average share of demand ";8,479826057339
2021-04;"Average share of demand ";8,1448507687536
2021-05;"Average share of demand ";11,456775130971
2021-06;"Average share of demand ";4,3261771245114
2021-07;"Average share of demand ";7,1116177374964
2021-08;"Average share of demand ";7,232631992151
2021-09;"Average share of demand ";5,1700713400689
2021-10;"Average share of demand ";9,7043811957122
2021-11;"Average share of demand ";6,1616396398094
2021-12;"Average share of demand ";8,9688226557209
2022-01;"Average share of demand ";6,4050369557287
2022-02;"Average share of demand ";12,602930987828
2022-03;"Average share of demand ";8,3124133327586
2022-04;"Average share of demand ";9,5307637470072
2022-05;"Average share of demand ";6,6414350088799
2022-06;"Average share of demand ";5,893710400576
2022-07;"Average share of demand ";5,662371761188
2022-08;"Average share of demand ";6,6094267618711
2022-09;"Average share of demand ";7,0975171215696
2022-10;"Average share of demand ";10,837638810195
2022-11;"Average share of demand ";13,001263918696
2022-12;"Average share of demand ";10,598122896197
2023-01;"Average share of demand ";12,567004084571
2023-02;"Average share of demand ";8,078206841121
2023-03;"Average share of demand ";14,681721806411
2023-04;"Average share of demand ";10,712445286261
2023-05;"Average share of demand ";11,363532048391
2023-06;"Average share of demand ";6,8729022922732
2023-07;"Average share of demand ";10,08753178727
2023-08;"Average share of demand ";8,8721972069125
2023-09;"Average share of demand ";7,4536689253054
2023-10;"Average share of demand ";12,971305753463
2023-11;"Average share of demand ";16,329629986476
2023-12;"Average share of demand ";15,270381441327
2024-01;"Average share of demand ";11,166729841465
2024-02;"Average share of demand ";13,638092800813
2024-03;"Average share of demand ";10,705214665778
2024-04;"Average share of demand ";12,231770470286
2024-05;"Average share of demand ";7,13031188004
2024-06;"Average share of demand ";7,2269634332075
2024-07;"Average share of demand ";5,8651620646653
2024-08;"Average share of demand ";6,1865610438581
2024-09;"Average share of demand ";11,908408747281
2024-10;"Average share of demand ";9,0858761663591
2024-11;"Average share of demand ";9,3076589889725
2024-12;"Average share of demand ";10,998783762216
2025-01;"Average share of demand ";11,277008631748
2025-02;"Average share of demand ";8,028070839131
2025-03;"Average share of demand ";9,3767463227786
2025-04;"Average share of demand ";9,9516308154325
2025-05;"Average share of demand ";10,006709420032
2025-06;"Average share of demand ";7,1534808594455
2025-07;"Average share of demand ";7,8656673024265
2025-08;"Average share of demand ";7,4189190214203
2025-09;"Average share of demand ";11,205517833719
2025-10;"Average share of demand ";13,861512065806
2025-11;"Average share of demand ";12,082742200317
2025-12;"Average share of demand ";11,507820269329
2026-01;"Average share of demand ";10,850303240614
