Date;Filière;Valeur (TWh);Nature
2022-03;"Onshore wind";3,519351469649;Données Consolidées
2022-04;"Onshore wind";3,591827527473;Données Consolidées
2022-05;"Onshore wind";2,126986804483;Données Consolidées
2022-06;"Onshore wind";1,841850774509;Données Consolidées
2022-07;"Onshore wind";1,866473900422;Données Consolidées
2022-08;"Onshore wind";2,036142876667;Données Consolidées
2022-09;"Onshore wind";2,229218798302;Données Consolidées
2022-10;"Onshore wind";3,403964289783;Données Consolidées
2022-11;"Onshore wind";4,714931937636;Données Consolidées
2022-12;"Onshore wind";4,435422110683;Données Consolidées
2023-01;"Onshore wind";5,472706457096;Données Consolidées
2023-02;"Onshore wind";3,332350295353;Données Consolidées
2023-03;"Onshore wind";5,755705386731;Données Consolidées
2023-04;"Onshore wind";3,726487524492;Données Consolidées
2023-05;"Onshore wind";3,554794463334;Données Consolidées
2023-06;"Onshore wind";2,043211604986;Données Consolidées
2023-07;"Onshore wind";3,157242431377;Données Consolidées
2023-08;"Onshore wind";2,672819380153;Données Consolidées
2023-09;"Onshore wind";2,266760234208;Données Consolidées
2023-10;"Onshore wind";4,290251294548;Données Consolidées
2023-11;"Onshore wind";6,19194144401;Données Consolidées
2023-12;"Onshore wind";6,544908678242;Données Consolidées
2024-01;"Onshore wind";5,165803437631;Données Consolidées
2024-02;"Onshore wind";5,453574988526;Données Consolidées
2024-03;"Onshore wind";4,2541354317082;Données Consolidées
2024-04;"Onshore wind";4,280570168295;Données Consolidées
2024-05;"Onshore wind";2,300408086227;Données Consolidées
2024-06;"Onshore wind";2,145041452006;Données Consolidées
2024-07;"Onshore wind";1,885752326805;Données Consolidées
2024-08;"Onshore wind";1,893674623143;Données Consolidées
2024-09;"Onshore wind";3,731750738723;Données Consolidées
2024-10;"Onshore wind";3,05021354422;Données Consolidées
2024-11;"Onshore wind";3,746106859293;Données Consolidées
2024-12;"Onshore wind";4,958171970651;Données Consolidées
2025-01;"Onshore wind";5,289356897754;Données Consolidées
2025-02;"Onshore wind";3,309264616405;Données Consolidées
2025-03;"Onshore wind";3,764224779258;Données Consolidées
2025-04;"Onshore wind";3,277041577466;Données Consolidées
2025-05;"Onshore wind";3,09708099263;Données Consolidées
2025-06;"Onshore wind";2,194005960662;Données Consolidées
2025-07;"Onshore wind";2,556343533505;Données Consolidées
2025-08;"Onshore wind";2,2693328480152;Données Consolidées
2025-09;"Onshore wind";3,47472541159;Données Consolidées
2025-10;"Onshore wind";4,827311403301;Données Consolidées
2025-11;"Onshore wind";4,734358852777;Données Consolidées
2025-12;"Onshore wind";5,139022647452;Données Consolidées
2026-01;"Onshore wind";5,404913848883;Données Consolidées
