timestamp,vent_vitesse_kmh,vent_direction,vent_rafales_kmh
2021-01-01 00:00:00,8.266666666666667,233.33333333333334,15.208333333333334
2021-01-01 01:00:00,6.6000000000000005,189.0,15.658333333333333
2021-01-01 02:00:00,6.558333333333334,228.91666666666666,14.4
2021-01-01 03:00:00,6.8500000000000005,177.41666666666666,14.25
2021-01-01 04:00:00,6.858333333333333,184.66666666666666,14.575000000000001
2021-01-01 05:00:00,7.366666666666667,191.58333333333334,14.375
2021-01-01 06:00:00,7.8500000000000005,198.41666666666666,15.0
2021-01-01 07:00:00,8.125,197.25,16.083333333333332
2021-01-01 08:00:00,8.458333333333334,195.08333333333334,16.225
2021-01-01 09:00:00,8.975,223.33333333333334,17.058333333333334
2021-01-01 10:00:00,9.941666666666666,194.75,19.741666666666667
2021-01-01 11:00:00,9.799999999999999,192.91666666666666,21.05
2021-01-01 12:00:00,10.466666666666667,199.33333333333334,23.108333333333334
2021-01-01 13:00:00,10.075,171.33333333333334,24.391666666666666
2021-01-01 14:00:00,10.549999999999999,114.66666666666667,23.525000000000002
2021-01-01 15:00:00,10.425,118.75,23.275000000000002
2021-01-01 16:00:00,10.308333333333332,91.41666666666667,22.59166666666667
2021-01-01 17:00:00,10.125,117.16666666666667,21.325
2021-01-01 18:00:00,10.566666666666668,143.5,20.433333333333334
2021-01-01 19:00:00,10.65,139.08333333333334,20.883333333333333
2021-01-01 20:00:00,11.0,164.16666666666666,20.466666666666665
2021-01-01 21:00:00,10.741666666666667,192.91666666666666,20.408333333333335
2021-01-01 22:00:00,10.191666666666666,192.83333333333334,19.666666666666668
2021-01-01 23:00:00,9.825000000000001,165.25,18.900000000000002
2021-01-02 00:00:00,9.541666666666666,243.91666666666666,18.400000000000002
2021-01-02 01:00:00,10.450000000000001,249.83333333333334,19.158333333333335
2021-01-02 02:00:00,10.558333333333334,255.16666666666666,20.783333333333335
2021-01-02 03:00:00,11.083333333333334,164.08333333333334,21.40833333333333
2021-01-02 04:00:00,11.541666666666666,157.58333333333334,22.308333333333334
2021-01-02 05:00:00,11.741666666666667,209.41666666666666,22.7
2021-01-02 06:00:00,11.616666666666667,209.58333333333334,23.458333333333332
2021-01-02 07:00:00,11.65,215.41666666666666,23.075
2021-01-02 08:00:00,11.15,215.0,23.808333333333334
2021-01-02 09:00:00,11.700000000000001,216.16666666666666,23.183333333333334
2021-01-02 10:00:00,11.991666666666667,245.41666666666666,24.46666666666667
2021-01-02 11:00:00,12.891666666666666,254.75,26.958333333333332
2021-01-02 12:00:00,13.708333333333334,258.6666666666667,28.524999999999995
2021-01-02 13:00:00,13.924999999999999,269.1666666666667,30.366666666666664
2021-01-02 14:00:00,14.833333333333334,273.25,31.474999999999998
2021-01-02 15:00:00,14.25,272.0,30.816666666666666
2021-01-02 16:00:00,12.825000000000001,267.75,28.291666666666668
2021-01-02 17:00:00,12.200000000000001,295.6666666666667,25.741666666666664
2021-01-02 18:00:00,11.975,292.4166666666667,23.766666666666666
2021-01-02 19:00:00,12.658333333333333,296.0833333333333,24.5
2021-01-02 20:00:00,12.65,287.4166666666667,25.133333333333336
2021-01-02 21:00:00,12.433333333333332,289.4166666666667,24.84166666666667
2021-01-02 22:00:00,12.325000000000001,285.9166666666667,24.066666666666666
2021-01-02 23:00:00,10.866666666666667,277.5,22.608333333333334
2021-01-03 00:00:00,10.608333333333334,271.75,21.275
2021-01-03 01:00:00,11.225,277.5833333333333,21.066666666666666
2021-01-03 02:00:00,10.616666666666667,277.4166666666667,23.45
2021-01-03 03:00:00,10.183333333333334,311.8333333333333,20.958333333333332
2021-01-03 04:00:00,10.991666666666667,283.5,20.941666666666666
2021-01-03 05:00:00,10.991666666666667,233.16666666666666,21.691666666666666
2021-01-03 06:00:00,10.566666666666666,222.41666666666666,21.466666666666665
2021-01-03 07:00:00,10.6,249.0,21.508333333333336
2021-01-03 08:00:00,10.075000000000001,220.16666666666666,20.716666666666665
2021-01-03 09:00:00,10.241666666666667,188.08333333333334,20.474999999999998
2021-01-03 10:00:00,11.225,181.08333333333334,21.78333333333333
2021-01-03 11:00:00,11.633333333333333,182.25,24.133333333333336
2021-01-03 12:00:00,12.783333333333333,184.58333333333334,26.21666666666667
2021-01-03 13:00:00,10.891666666666666,167.08333333333334,27.541666666666668
2021-01-03 14:00:00,10.983333333333334,142.91666666666666,24.266666666666666
2021-01-03 15:00:00,10.299999999999999,141.33333333333334,23.375
2021-01-03 16:00:00,9.275,145.33333333333334,21.541666666666668
2021-01-03 17:00:00,7.5249999999999995,124.41666666666667,18.366666666666667
2021-01-03 18:00:00,7.766666666666667,213.58333333333334,15.525
2021-01-03 19:00:00,8.825000000000001,173.33333333333334,16.283333333333335
2021-01-03 20:00:00,8.916666666666666,177.0,17.591666666666665
2021-01-03 21:00:00,8.616666666666667,156.66666666666666,16.958333333333332
2021-01-03 22:00:00,8.341666666666667,159.0,16.858333333333334
